Job Title,Description,District,Work Mode
Programador BMS o SCADA,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) (contar con certificación o curso en alguno de estos lenguajes de programación).
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial para laborar en Lima, Perú.
Beneficios:
Planilla completa desde el primer día de trabajo.
Cobertura al 100% de EPS.
Convenios corporativos.
Acceso a cursos y certificaciones online.
Crecimiento y desarrollo profesional.
Minsait, technology for a more human future! Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.","Lima, Lima, Peru",Presencial
Analista Desarrollador Full -Stack,"REQUISITOS:
Profesional de las carreras de Ingeniería de Sistemas, Industrial o carreras afines.
Experiencia mínima: 2 años como desarrollador Fullstack, manejando base de datos SQL Server, aplicaciones en .NET Framework, NetCore, Api Rest Full. Experiencia MVC Asp.net, WinForms.
Experiencia mínima 2 años de computación en la nube bajo plataforma Amazon AWS
Manejo avanzado de SQL Server, experiencia en BD postgres
DESEABLE:
Conocimientos de algún software de manejo de versiones (GIT, TFS)
Conocimientos de HTML5, BOOTSTRAP 4.x / MATERIALIZE, CSS3, JSON, Jquery, Ajax, XML, etc.
Conocimientos intermedios de Netcore a nivel de backend(Apis)
Conocimiento de Angular, en desarrollo y despliegue de Api's RestFull, SOAP, JSON.
Conocimiento de desarrollo de agentes IA e integraciones
FUNCIONES:
Liderar el proyecto de implementación de un nuevo CRM para la compañía.
Analizar y desarrollar nuevas funcionalidades en los sistemas que soportan la operación del área comercial: Salesforce CRM, Sistema de gestión Ordenes Publicitarias, Valorizador y cotizador para sus operaciones diarias.
Generar sinergias con el área comercial para el desarrollo de sus proyectos, actuando con liderazgo y asesoría.
Proponer mejoras y liderar cambios asociados a optimizar los flujos comerciales, coordinando directamente con asesores comerciales y el equipo de administración de pauta.
Brindar soporte a los usuarios que ingresan y utilizan los sistemas comerciales para sus operaciones diarias.","Lima, Lima, Peru",Presencial
Analista Programador JAVA,"💡 DÉJANOS CONTARTE LO QUE NOS HACE GENUINE 💙
Buscamos profesionales que quieran reinventarse cada día 🔄, que lleven los retos en el ADN 🧬 y que sientan una pasión genuina por la tecnología 💻✨.
Eso es lo que nos hace únicos, auténticos y diferentes 🚀.
¿QUÉ ESTAMOS BUSCANDO?
Estamos en la búsqueda de un Desarrollador Java especializado en el sector financiero para desarrollar y mantener aplicaciones críticas bancarias.
Funciones:
Desarrollar microservicios en Java 8/11/17/21 con Spring Framework y Spring Boot
Implementar integraciones con proveedores SaaS mediante APIs RESTful y buenas prácticas
Diseñar arquitecturas siguiendo patrones DDD, TDD y Arquitectura Hexagonal
Gestionar APIs utilizando Apigee y buses de servicio como Jboss Fuse
Aplicar desarrollo seguro con SonarQube, OAuth2.0 y ciclo de desarrollo seguro
Colaborar en metodologías ágiles y aplicar mejores prácticas de desarrollo de software
Requisitos:
3 años mínimos en sistema financiero o cargos de similar responsabilidad
Experiencia sólida en Java 8/11/17/21 con manejo avanzado de Spring Framework, Spring Boot y Quarkus para desarrollo de aplicaciones empresariales.
Conocimiento de Go será valorado como plus adicional.
Experiencia práctica implementando microservicios y arquitecturas distribuidas, aplicando patrones DDD, TDD y Arquitectura Hexagonal, junto con patrones de diseño como Clean Code, Singleton, Builder y Proxy.
Experiencia desarrollando integraciones con proveedores SaaS mediante APIs RESTful siguiendo buenas prácticas, manejo de API Management con Apigee y conocimiento de buses de servicio como Jboss Fuse.
Conocimiento de servidores de aplicaciones como Apache Tomcat y Jboss, experiencia con contenedores Docker y Kubernetes, manejo de herramientas DevOps como Azure Repos y Git, y familiaridad con herramientas de monitoreo como Dynatrace y ELK Stack.
Experiencia trabajando con bases de datos Redis, DB2 y SQL Server, incluyendo optimización de consultas y mejora de performance en entornos de alta concurrencia.
Experiencia implementando pruebas unitarias con JUnit y Mocks, conocimiento del ciclo de desarrollo seguro usando SonarQube y OAuth2.0, y aplicación práctica de metodologías ágiles en proyectos de desarrollo.
Disponibilidad hibrida en Miraflores, Lima
PORQUE EN ENTELGY TODO COMIENZA CONTIGO
Únicos, Reales, Auténticos, Diferentes……
Somos 100% GENUINE.
Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en diferentes actividades, eventos, retos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, nuestro compromiso de contribuir a nuestra sociedad con iniciativas para el Cuidado del medio ambiente, Voluntariado comunitario, Sensibilización sobre personas vulnerables, etc. Health & Wellness, Responsabilidad Social, Programa para el Cuidado del Medio Ambiente.
ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYO
Ven para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine!
Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día.
Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites.","Lima, Lima, Peru",Híbrido
Analista Programador .NET | Visual Basic,"DÉJANOS CONTARTE LO QUE NOS HACE GENUINE
Buscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología. Esto nos hace únicos, diferentes y auténticos.
¿QUÉ ESTAMOS BUSCANDO?
Buscamos un Analista programador con sólidos conocimientos en tecnologías .NET, bases de datos y metodologías ágiles, con capacidad para trabajar en proyectos críticos del sector financiero.
Funciones:
Desarrollar aplicaciones .NET Core (2.0, 3.1, 5, 6) y Visual Basic para sistemas bancarios
Diseñar y optimizar bases de datos Oracle/SQL Server y paquetes SSIS
Implementar automatización de procesos con Control-M y scripting (PowerShell/Bash)
Desarrollar interfaces web con HTML, CSS, JavaScript y frameworks modernos
Gestionar control de versiones con Git/Bitbucket y flujos de trabajo colaborativos
Aplicar metodologías ágiles (Scrum/Kanban) usando Jira para gestión de proyectos
Requisitos:
4 años de experiencia en desarrollo de software
Lenguajes de Programación:
Visual Basic 2005 y 2008
C# .NET Core 2.0, 3.1, .NET 5 y 6
Desarrollo Web: HTML, CSS, JavaScript
Bases de Datos:
Diseño y optimización de bases de datos
SQL avanzado y manejo de Oracle
SQL Server Integration Services (SSIS) - diseño, desarrollo y despliegue
Control de Versiones:
Git - branching, merging, pull requests
Bitbucket para gestión de repositorios
Metodologías y Herramientas:
Metodologías ágiles - Kanban, Scrum
Jira para gestión de proyectos
Control-M para automatización de jobs y AFT
Scripting - PowerShell y Bash
Disponibilidad para trabajo hibrido (San Isidro, Lima)
PORQUE EN ENTELGY TODO COMIENZA CONTIGO
Únicos, Reales, Auténticos, Diferentes……
Somos 100% GENUINE.
Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en diferentes actividades, eventos, retos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, nuestro compromiso de contribuir a nuestra sociedad con iniciativas para el Cuidado del medio ambiente, Voluntariado comunitario, Sensibilización sobre personas vulnerables, etc. Health & Wellness, Responsabilidad Social, Programa para el Cuidado del Medio Ambiente.
ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYO
Ven para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine!
Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día.
Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites.","Lima, Lima, Peru",Híbrido
Analista Desarrollador Java,"En Experis Perú, nos encontramos en la búsqueda del mejor talento para sumarse a los desafíos de la transformación digital para importante empresa dedicada a la Administración de Fondos Colectivos.
Por ello, te invitamos a formar parte del reto como: Analista Desarrollador Java
Requisitos para el puesto:
Experiencia mínima 2 años en Oracle PL/SQL(indispensable)
Experiencia 3 años en Java(JSP).
Conocimiento de Html, Java Script, Jquery, Css, IDE Netbeans, Bootstrap - Indispensable
VisualStudio - Deseable
Funciones:
Levantamiento de requerimientos documentada.
Convertir las necesidades del negocio en productos de software.
Implementar soluciones tecnológicas, aplicando las buenas prácticas en análisis, diseño y desarrollo de software.
Gestionar los requerimientos asignados por el Jefe de Sistemas.
Hacer seguimiento al desarrollo/pruebas/puesta en producción de la solución propuesta
Gestionar la demanda de los requerimientos.
Diseñar, codificar y probar que los módulos de los programas cumplen con las especificaciones de diseño.
Revisión del listado de pruebas, ejecutar y documentar las pruebas necesarias para asegurar que una aplicación o entorno técnico cumple con los requisitos de rendimiento.
Elaborar la documentación respectiva.
Te ofrecemos:
Ingreso directo a planilla completa con todos los beneficios de ley.
Contrato a plazo indeterminado.
Horario: Lunes a viernes: 8:30 a.m. a 6:00pm Sábado: 8:30 a 1:00pm en Lima Cercado
Modalidad: Presencial
EPS
En Experis Perú, promovemos la inclusión y equidad laboral, sin distinción por discapacidad, género, orientación sexual, identidad de género, edad o lugar de origen.
¡Todos los talentos son bienvenidos!","La Victoria, Lima, Peru",Presencial
Desarrollador Backend NodeJS / AWS,"Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos un Desarrolladores Backend NodeJS / AWS con ganas de trabajar en nuestros equipos multidisciplinares.
Requisitos:
Experiencia minima de 3 años a más como Backend.
Experiencia minima de 3 años en Nodejs.
Experiencia minima de 2 años en AWS con Lambda, CloudWatch, API Gateway, etc.
Conocimiento y experiencia en TypeScript.
Conocimiento y experiencia en Serverless.
Condiciones de trabajo:
Modalidad Híbrida (3 veces por semana en oficinas) en el distrito de San Isidro.
Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm.
Beneficios:
Planilla Completa desde el 1er día de trabajo.
Cobertura al 100% de EPS.
Convenios Corporativos.
Acceso ilimitado a cursos y certificaciones online en Udemy.
Crecimiento y desarrollo profesional.
¡Anímate y postula con nosotros!","San Isidro, Lima, Peru",Híbrido
ANALISTA DE PROGRAMADOR,"¡Buscamos un Analista Programador innovador y resolutivo! Si disfrutas transformar ideas en soluciones tecnológicas eficientes, crear aplicaciones robustas y garantizar que cada sistema funcione de manera óptima, esta es tu oportunidad. Únete a nuestro equipo para diseñar, desarrollar y mantener plataformas digitales que impacten directamente en la experiencia de nuestros usuarios y en la modernización de nuestra institución. Tu talento será clave para integrar front end y back end, optimizar procesos mediante automatización y aportar mejoras constantes que eleven el rendimiento de nuestros sistemas. ¡Sé parte del motor tecnológico que impulsa nuestro crecimiento!
Responsabilidades:
Analizar información para la toma de decisiones oportunas y el desarrollo de estrategias comerciales que generen el cumplimiento de las metas comerciales.
Desarrollar el perfilamiento y/o segmentación de la cartera de clientes, así como identificar y proponer nuevos segmentos de clientes enfocados en oportunidades de negocio.
Analizar información específica a medida, utilizando fuentes de información internas y externas, según requerimientos comerciales planteados por el jefe inmediato.
Proporcionar la información necesaria para asegurar una correcta asignación de metas comerciales, un adecuado planeamiento de la capacidad comercial y un seguimiento constante a los esquemas de remuneración variable.
Hacer seguimiento a los indicadores de gestión (KPIs) y reportes estratégicos a monitorear en las instancias establecidas, a fin de asegurar una adecuada gestión del performance, alineado a la estrategia de la Gerencia de Créditos.
Realizar dentro de su competencia las demás funciones y atribuciones que establezcan las disposiciones normativas vigentes y/o las que le asigne su jefe inmediato.
Requisitos
Bachiller en Ingeniería Industrial, Ingeniería de Sistemas, Administración de Empresas, Estadística, Economía o afines.
3 años de experiencia en el desarrollo de interfaces de usuario.
Conocimiento en PI / SQL Oracle, .Net C#, Angular 10 (o superior) y JavaScript y TypeScript (Indispensable)
Se valora experiencia en programación orientada a objetos / Manejo de IDE's, trabajar con frameworks y experiencia con Rest Apis.
Deseable con experiencia en el desarrollo de aplicaciones móviles (IOS y/o Android)","Jesús María, Lima, Peru",Presencial
Desarrollador Full Stack (Java / AWS / React Native),"SOFTWARE ENTERPRISE SERVICES
Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición
Desarrollador FullStack (Java / AWS / React Native)
Requisitos:
Requisitos:
Bachiller o Titulado en Ingeniería de Sistemas, Informática, Software, Ciencias de la Computación o carreras afines.
Experiencia mínima de 4 años en posiciones similares.
Experiencia en desarrollo de microservicios en Java con Quarkus.
Diseño e implementación de APIs REST y GraphQL.
Experiencia en integración con servicios en la nube (AWS Lambda, EventBridge, AppSync, DynamoDB).
Conocimientos de buenas prácticas en arquitectura, seguridad y calidad de código.
Manejo de bases de datos PostgreSQL y MongoDB.
Desarrollo de aplicaciones móviles con React Native y consumo de APIs.
Experiencia en pruebas unitarias y control de versiones con Git.
Competencias blandas:
Comunicación asertiva
Proactividad
Trabajo en equipo
Beneficios:
Planilla completa.
Trabajo Híbrido.
EPS (Opcional).
Oportunidad de línea de carrera.","Cercado De Lima, Lima, Peru",Híbrido
Programador BMS,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation)
Deseable:
Programación en otros SCADA/BMS.
Experiencia con redes TCP/IP.
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial en Lima, Perú.
Beneficios:
Planilla completa desde el primer día de trabajo.
Cobertura al 100% de EPS.
Convenios corporativos.
Acceso a cursos y certificaciones online.
Crecimiento y desarrollo profesional.
Minsait, technology for a more human future! Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.","Lima, Lima, Peru",Presencial
Desarrollador FullStack (Lenguaje Go y React Native),"SOFTWARE ENTERPRISE SERVICES
Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición
Desarrollador FullStak (Lenguaje Go y React Native)
Requisitos:
Bachiller/Título en Ingeniería en Sistemas, Informática, Software, Ciencias de la Computación o afines (Indispensable).
Experiencia mínima de 3 años en posiciones similares (Indispensable).
Experiencia en dominio del lenguaje Go, Modules (go.mod, go.sum), REACT Native-Expo 54 y Framework Fiber (Nivel avanzado-Indispensable).
Manejo de servicios web y APIs RESTful, manejo de JSON, HTTP y dominio de protocolos HTTPS (Nivel avanzado – Indispensable).
Programación concurrente (Nivel intermedio – Deseable).
Manejo de Docker y Kubernetes para contenerización y orquestación de servicios (Nivel intermedio – Deseable).
Experiencia en CI/CD, integración y despliegue continuo con GitLab (Nivel intermedio – Deseable).
Conocimientos de Metodología Ágil Scrum (Nivel intermedio – Deseable).
Competencias blandas:
Comunicación asertiva
Proactividad
Trabajo en equipo
Beneficios:
Planilla completa.
Trabajo Híbrido.
EPS (Opcional).
Oportunidad de línea de carrera.","Lima, Lima, Peru",Híbrido
Desarrollador Mobile React Native,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros.
Nos encontramos en búsqueda de un talento para el cargo de un Desarrollador Mobile React Native para colaborar en modalidad híbrida con uno de nuestros clientes del sector bancario para un proyecto de 3 meses con el siguiente perfil:
Requisitos
Formación Universitaria culminada en Ingeniería de Sistemas, Software, Computación e Informática o carreras afines.
3 a 5 años de experiencia desarrollando aplicaciones móviles con React Native CLI.
Conocimiento y aplicación de Arquitectura Limpia en proyectos móviles.
Experiencia en despliegue de aplicaciones a tiendas oficiales (Google Play / App Store) y tiendas internas.
Manejo de Firebase (Auth, Firestore, Notifications, etc.).
Conocimiento en gestión de dependencias: iOS: CocoaPods Android: Gradle
Dominio en herramientas de control de versiones como GitLab (ramificación, merge requests, CI/CD opcional).
Beneficios
Capacitación AWS
Descuentos corporativos
Actividades de bienestar y más...
¡Somos tecnología, somos experiencia, somos FRACTAL!","San Isidro, Lima, Peru",Híbrido
Desarrollador FrontEnd Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros.
Nos encontramos en búsqueda de un talento Desarrollador Frontend Senior para colaborar en modalidad híbrida con nuestro cliente del sector bancario en un proyecto de 3 meses con posibilidad de extensión.
Requisitos:
+4 años de experiencia en desarrollo Front End.
Experiencia sólida en Java + Angular 18 o 19.
Manejo y creación de componentes (conocimiento en Storybook es un plus).
Dominio de SASS.
Desarrollo de Single Page Applications (SPA).
Conocimiento en microfrontends.
Aplicación de arquitectura limpia en proyectos.
Uso avanzado de RxJS.
Beneficios:
Capacitación AWS
Descuentos corporativos
Actividades de bienestar y más...

Conócenos en: https://www.fractal.com.pe/
¡Somos experiencia, somos tecnología, somos Fractal!","San Isidro, Lima, Peru",Híbrido
Desarrollador .NET Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros.
Nos encontramos en búsqueda de un talento para el cargo de Desarrollador .NET Senior para colaborar en modalidad remota en un proyecto de periodo inicial de 3 meses con uno de nuestros clientes del sector bancario.
Requisitos:
Bachiller universitario en Ingeniería Informática o afines
3-5 años de experiencia como desarrollador
Dominio Avanzado .NET
Dominio Avanzado en bases de dato SQL
Sólidos conocimientos en inteligencia de negocio (BI)
Beneficios
Capacitación AWS
Descuentos corporativos
Actividades de bienestar y más...
Conócenos en: https://www.fractal.com.pe/
¡Somos experiencia, somos tecnología, somos Fractal!","Lima, Lima, Peru",Remoto
Programador,"Estamos en búsqueda de un Programador Full Stack para integrarse a nuestro equipo y participar en uno de nuestros próximos proyectos.
Lo que buscamos de ti
Principales responsabilidades:
Implementar interfaces dinámicas y atractivas con JavaScript e integraciones con APIs REST.
Construir y mantener el backend con Node.js y Express, incluyendo el manejo de colas y servicios en tiempo real mediante WebSockets.
Diseñar, optimizar y mantener SQL Server, con experiencia en consultas complejas, triggers y stored procedures.
Resolver problemas críticos en los procesos de despliegue y compilación para entornos web
Mejorar el rendimiento de las aplicaciones mediante la optimización de consultas SQL de alta complejidad.
Formación y experiencia
Egresado de Ingeniería de Sistemas, Computación o afines.
Experiencia mínima de 2 años en desarrollo de software.
Beneficios
Salario acorde del mercado
Ingreso a planilla remype
Oprtunidad de crecimiento.
Excelete clima laboral.","Miraflores, Lima, Peru",Presencial
Programador Full Stack c/ exp en IA,"En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador Full Stack
Desarrollar aplicaciones web y mobiles que cumplan buenas practicas de programación y desarrollo seguro (Indispensable)
Elaborar documentación técnica resultante de la implementación de requerimientos
Especificar, diseñar y mantener mecanismos para almacenar y acceder a datos.
Garantizar la integración y despliegue continuo de los requerimientos implementados
Implementar soluciones de IA para desarrollar features como chatbots, reconocimiento de imágenes o procesamiento de documentos.
¿Qué requisitos necesito?
- Egresado técnico o bachiller universitario en Ingeniería de Sistemas, Informática, Computación o carreras afines.
- 3 años en integración y desarrollo de aplicaciones, con experiencia demostrable en la integración de al menos un tipo de feature de IA (chatbot, visión, NLP) en una aplicación web en producción.
- 1 año de experiencia en proyectos del sector financiero (deseable)
Conocimientos técnicos requeridos:
1) Frontend: Dominio Obligatorio en React, NextJS,
2) Backend: Dominio Obligatorio en Java, Python (Deseable: Nodejs, Nestjs)
3) Bases de Datos: Conocimiento en MongoDB, Firebase, MySQL y SQL Server
4) Infraestructura y DevOps:
Manejo de pipelines CI/CD (GitHub Actions, Jenkins, etc.).
Conocimiento en contenedores (Docker, Kubernetes).
5) Herramientas de IA:
APIs de Cloud: OpenAI API, Google Gemini, Azure AI Services, AWS Bedrock/AI Services.
Frameworks de integración: LangChain, LlamaIndex.
Bibliotecas de ML: Hugging Face transformers, TensorFlow Lite, PyTorch (para inferencia)
Deseable:
Conocimiento de estándares de seguridad (OWASP).
Manejo de herramientas DevOps (Docker, Kubernetes, Jenkins) para automatización de despliegues.
Disponibilidad para trabajar bajo modalidad presencial de L-V en San Borja
¿Por qué Valtx?
Porque creemos que el talento se potencia con propósito. En Valtx no solo desarrollamos tecnología, transformamos negocios y acompañamos a nuestros colaboradores en su desarrollo profesional, promoviendo una cultura colaborativa, cercana y orientada a la excelencia.
¿Estás listo para construir soluciones que marcan la diferencia?
Postula hoy y forma parte de un equipo que evoluciona contigo.","San Borja, Lima, Peru",Presencial
Programador BMS - Automizador,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation)
Deseable:
Programación en otros SCADA/BMS.
Experiencia con redes TCP/IP.
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial en Lima, Perú.
Beneficios:
Planilla completa desde el primer día de trabajo.
Cobertura al 100% de EPS.
Convenios corporativos.
Acceso a cursos y certificaciones online.
Crecimiento y desarrollo profesional.
Minsait, technology for a more human future! Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.","Lima, Lima, Peru",Presencial
Programador BMS,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation)
Deseable:
Programación en otros SCADA/BMS.
Experiencia con redes TCP/IP.
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial en Lima, Perú.
Beneficios:
Planilla completa desde el primer día de trabajo.
Cobertura al 100% de EPS.
Convenios corporativos.
Acceso a cursos y certificaciones online.
Crecimiento y desarrollo profesional.
Minsait, technology for a more human future! Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.","Lima, Lima, Peru",Presencial
Analista Programador / Sector Educativo,"En inLearning Escuelas de Educación superior, plataforma educativa del grupo Intercorp, conformada por Idat, Zegel, la Escuela de Arte Corriente Alterna e Innova Teaching School, empresas que promueven la equidad de género, igualdad e inclusión, nos encontramos en la búsqueda de un(a) Analista Programador Jr.
Propósito:
Analizar, desarrollar y brindar soporte informático para el sistema educativo de la empresa.
Funciones:
Análisis y desarrollo de nuevos requerimientos del ERP Académico.
Mantenimiento y soporte de requerimientos y errores del ERP Académico.
Realizar consultas y actualización de los registros de base de datos de las aplicaciones.
Atender y orientar a los usuarios en el manejo del ERP Académico.
Seguimiento, acompañamiento y validación de pases a producción.
Realizar otras funciones afines y/o complementarias que le asigne su jefe inmediato.
Requisitos:
Formación Superior Técnica o Universitaria completa en Computación, Ingeniería de Sistemas, Informática o afines.
Experiencia mínima de 1 año a más, como programador de aplicaciones Desktop y web, con Base de Datos MSSQL y Microsoft .NET
Conocimientos en Base de Datos MSSQL (de preferencia 2016 en adelante).
Conocimientos en Microsoft .NET 2017 para soluciones web y escritorio
Conocimiento de lenguaje de programación C# y VB.
Manejo de Repositorios versionamiento Git.
Conocimientos en Arquitectura WCF, MVC y Framework .NET
Conocimientos en Diseño de interfaces, interacción y experiencia usuario.
Conocimientos en Excel avanzado y MS PoweBI (deseable)
Beneficios:
Ingreso a planilla desde el primer día con todos los beneficios de ley.
Cuponera de tiempo libre
Ser parte de una de las empresas del grupo Intercorp.
Descuentos en las empresas que pertenecen al club Intercorp.
Atractivos descuentos en las instituciones educativas del grupo.
Semana Classifieds (Semana libre entre Navidad y Año Nuevo)
En inLearning Escuelas de Educación superior conformado por Zegel, Idat, Corriente Alterna e Innova Teaching School, estamos comprometidos con promover la igualdad de género, diversidad e inclusión en nuestros procesos de atracción y selección del talento, brindando igualdad de oportunidades laborales para los/las postulantes, asegurando ambientes saludables, equitativos y seguros.
Además, queremos que sepas que este cargo admite postulaciones para personas con discapacidad de acuerdo al marco de la Ley de Inclusión Laboral en el Perú.","Cercado De Lima, Lima, Peru",Híbrido
